source_id,ra,dec,parallax,pseudocolour,bp_rp
2252358472969443456,285.11375601172756,63.20574795507474,2.735448995941768,,2.4989643
2252358503032465152,285.15659455392813,63.20529860112631,2.039126025580436,1.1883861,2.8058586
2252358507327887104,285.1380066952889,63.20305285315299,0.7777452740183581,1.1322775,1.6889915
2252358507329183616,285.16076389610157,63.194358685046836,-0.7363025774474465,1.1770843,1.0313148
2252358507329185024,285.1600585858059,63.20200911418115,0.5695087879145527,1.3446922,1.7859211
2252358537392205824,285.1735698071611,63.21161944539028,0.3442280317658776,1.5327138,1.1534157
2252358571751945728,285.1365490778195,63.21438197505231,0.5022821307886455,1.3750076,1.6925354
2252358606112479616,285.1168006495286,63.234816346151675,,,1.0748196
2253544158820475392,284.6464712768019,64.19001554461147,0.764566751306739,,0.81547165
2253544158820476416,284.654699587764,64.1883809939229,0.52091260743435,1.2898568,1.5380516
